;open;tile;name;size;stock;img;range;collection;uses;brochure;availability
0;['tilereveal-ajax'];['31545', 'false', 'https://www.minoli.co.uk/tiles/clay-outdoor-trust-2-2-2/'];['Clay Delight Outdoor'];['80/80 (20 mm)'];['CLY1015', 'Non-stock items – Approx. 21-28 days'];['https://www.minoli.co.uk/wp-content/uploads/2021/03/feature_0000s_0005_Clay_CL02_Delight_80x80-710x710.jpg'];['Clay - Outdoor', 'https://www.minoli.co.uk/ranges/clay-outdoor/'];['Outdoor Collection', 'https://www.minoli.co.uk/collections/outdoor-20mm/'];['Outdoor'];['false'];['special-order']
0;['tilereveal-ajax', 'tilereveal-ajax', 'tilereveal-ajax', 'tilereveal-ajax'];['31557', 'false', 'https://www.minoli.co.uk/tiles/trust-outdoor-ivory-2/', '31557', 'false', 'https://www.minoli.co.uk/tiles/trust-outdoor-ivory-2/', '31557', 'false', 'https://www.minoli.co.uk/tiles/trust-outdoor-ivory-2/', '31557', 'false', 'https://www.minoli.co.uk/tiles/trust-outdoor-ivory-2/'];['Trust Gold Outdoor \n', 'Trust Gold Outdoor ', 'Trust Gold Outdoor ', 'Trust Gold Outdoor '];['60/120 (20 mm)', '45/90 (20 mm)', '60/60 (20 mm)', '30/60 (20 mm)'];['TRT1069', 'Non-stock items – Approx. 21-28 days', 'TRT1065', 'Non-stock items – Approx. 21-28 days', 'TRT1061', 'Non-stock items – Approx. 21-28 days', 'TRT1057', 'Non-stock items – Approx. 21-28 days'];['https://www.minoli.co.uk/wp-content/uploads/Trust-Gold-Lastra-60x120-710x358.jpg', 'https://www.minoli.co.uk/wp-content/uploads/Trust-Gold-Lastra-45x90-710x363.jpg', 'https://www.minoli.co.uk/wp-content/uploads/Trust-Gold-Lastra.jpg', 'https://www.minoli.co.uk/wp-content/uploads/Trust-Gold-Lastra-30x60.jpg'];['Trust - Outdoor', 'https://www.minoli.co.uk/ranges/trust-outdoor/', 'Trust - Outdoor', 'https://www.minoli.co.uk/ranges/trust-outdoor/', 'Trust - Outdoor', 'https://www.minoli.co.uk/ranges/trust-outdoor/', 'Trust - Outdoor', 'https://www.minoli.co.uk/ranges/trust-outdoor/'];['Outdoor Collection', 'https://www.minoli.co.uk/collections/outdoor-20mm/', 'Outdoor Collection', 'https://www.minoli.co.uk/collections/outdoor-20mm/', 'Outdoor Collection', 'https://www.minoli.co.uk/collections/outdoor-20mm/', 'Outdoor Collection', 'https://www.minoli.co.uk/collections/outdoor-20mm/'];['Outdoor', 'Outdoor', 'Outdoor', 'Outdoor'];['false', 'false', 'false', 'false'];['special-order', 'special-order', 'special-order', 'special-order']
0;['tilereveal-ajax'];['31956', 'false', 'https://www.minoli.co.uk/tiles/citta-tortora/'];['Citta Tortora'];['10/30 (6 mm)'];['VC02532', 'Please check stock availability at time of ordering'];['https://www.minoli.co.uk/wp-content/uploads/Minoli-Citta-Tortora-100x300.jpg'];['Citta', 'https://www.minoli.co.uk/ranges/citta/'];['Core Collection', 'https://www.minoli.co.uk/collections/core-collection/'];['Wall'];['false'];['in-stock']
0;['tilereveal-ajax'];['31543', 'false', 'https://www.minoli.co.uk/tiles/clay-outdoor-trust-2-2/'];['Clay Awake Outdoor '];['80/80 (20 mm)'];['CLY1016', 'Non-stock items – Approx. 21-28 days'];['https://www.minoli.co.uk/wp-content/uploads/2021/03/feature_0000s_0004_Clay_CL03_Awake_80x80-710x710.jpg'];['Clay - Outdoor', 'https://www.minoli.co.uk/ranges/clay-outdoor/'];['Outdoor Collection', 'https://www.minoli.co.uk/collections/outdoor-20mm/'];['Outdoor'];['false'];['special-order']
0;['tilereveal-ajax', 'tilereveal-ajax'];['31554', 'false', 'https://www.minoli.co.uk/tiles/twelvenoon-outdoor-daylight-2-2/', '31554', 'false', 'https://www.minoli.co.uk/tiles/twelvenoon-outdoor-daylight-2-2/'];['TwelveNoon Honey Outdoor ', 'TwelveNoon Honey Outdoor \n'];['30/120 (20 mm)', '19.7/120 (20 mm)'];['TWN1018', 'Please check stock availability at time of ordering', 'TWN1021', 'Non-stock items – Approx. 21-28 days'];['https://www.minoli.co.uk/wp-content/uploads/Minoli-Twelvenoon-Honey-Lastra-30x120-710x181.jpg', 'https://www.minoli.co.uk/wp-content/uploads/Minoli-Twelvenoon-Honey-Lastra-30x120-710x181.jpg'];['Twelvenoon - Outdoor', 'https://www.minoli.co.uk/ranges/twevenoon-outdoor/', 'Twelvenoon - Outdoor', 'https://www.minoli.co.uk/ranges/twevenoon-outdoor/'];['Outdoor Collection', 'https://www.minoli.co.uk/collections/outdoor-20mm/', 'Outdoor Collection', 'https://www.minoli.co.uk/collections/outdoor-20mm/'];['Outdoor', 'Outdoor'];['false', 'false'];['in-stock', 'special-order']
0;['tilereveal-ajax'];['31985', 'false', 'https://www.minoli.co.uk/tiles/flux-outdoor-bone/'];['Flux Bone Outdoor'];['60/60 (20 mm)'];['VC03706', 'Please check stock availability at time of ordering'];['https://www.minoli.co.uk/wp-content/uploads/2019/12/Flux_0001__Flux_Bone_60x60_RT_AL4U-710x710.jpg'];['Flux - Outdoor', 'https://www.minoli.co.uk/ranges/flux-outdoor/'];['Outdoor Collection', 'https://www.minoli.co.uk/collections/outdoor-20mm/'];['Outdoor'];['false'];['in-stock']
0;['tilereveal-ajax', 'tilereveal-ajax'];['31571', 'false', 'https://www.minoli.co.uk/tiles/raw-outdoor-white-2-2-2/', '31571', 'false', 'https://www.minoli.co.uk/tiles/raw-outdoor-white-2-2-2/'];['Raw Mud Outdoor ', 'Raw Mud Outdoor '];['120/120 (20mm)', '60/120 (20mm)'];['RAW1040', 'Non-stock items – Approx. 21-28 days', 'RAW1036', 'Non-stock items – Approx. 21-28 days'];['https://www.minoli.co.uk/wp-content/uploads/2019/12/grip_0001Raw_Mud_120x120_Textured_A06P_01-710x710.jpg', 'https://www.minoli.co.uk/wp-content/uploads/2019/12/raw-rect_0002_Raw_Mud_60x120_Textured_A0JR_01-710x355.jpg'];['Raw - Outdoor', 'https://www.minoli.co.uk/ranges/raw-outdoor/', 'Raw - Outdoor', 'https://www.minoli.co.uk/ranges/raw-outdoor/'];['Outdoor Collection', 'https://www.minoli.co.uk/collections/outdoor-20mm/', 'Outdoor Collection', 'https://www.minoli.co.uk/collections/outdoor-20mm/'];['Outdoor', 'Outdoor'];['false', 'false'];['special-order', 'special-order']
0;['tilereveal-ajax'];['31085', 'false', 'https://www.minoli.co.uk/tiles/clay-outdoor-trust/'];['Clay Trust Outdoor '];['80/80 (20mm)'];['CLY1018', 'Non-stock items - Approx. 6-8 weeks'];['https://www.minoli.co.uk/wp-content/uploads/2021/03/feature_0000s_0000_Clay_CL07_Trust_80x80-710x710.jpg'];['Clay - Outdoor', 'https://www.minoli.co.uk/ranges/clay-outdoor/'];['Outdoor Collection', 'https://www.minoli.co.uk/collections/outdoor-20mm/'];['Outdoor'];['false'];['special-order']
0;['tilereveal-ajax', 'tilereveal-ajax', 'tilereveal-ajax', 'tilereveal-ajax'];['32258', 'false', 'https://www.minoli.co.uk/tiles/bravestone-outdoor-coke/', '32258', 'false', 'https://www.minoli.co.uk/tiles/bravestone-outdoor-coke/', '32258', 'false', 'https://www.minoli.co.uk/tiles/bravestone-outdoor-coke/', '32258', 'false', 'https://www.minoli.co.uk/tiles/bravestone-outdoor-coke/'];['Bravestone Coke Outdoor \n', 'Bravestone Coke Outdoor ', 'Bravestone Coke Outdoor ', 'Bravestone Coke Outdoor '];['120/120 (20 mm)', '60/120 (20 mm)', '45/90 (20 mm)', '60/60 (20 mm)'];['BVS1067', 'Non-stock items – Approx. 21-28 days', 'BVS1065', 'Non-stock items – Approx. 21-28 days', 'BVS1060', 'Non-stock items – Approx. 21-28 days', 'BVS1055', 'Non-stock items – Approx. 21-28 days'];['https://www.minoli.co.uk/wp-content/uploads/Bravestone-Coke-Lastra.jpg', 'https://www.minoli.co.uk/wp-content/uploads/Bravestone-Coke-45-lastra-710x363.jpg', 'https://www.minoli.co.uk/wp-content/uploads/Bravestone-Coke-45-lastra-710x363.jpg', 'https://www.minoli.co.uk/wp-content/uploads/Bravestone-Coke-Lastra.jpg'];['Bravestone - Outdoor', 'https://www.minoli.co.uk/ranges/bravestone-outdoor/', 'Bravestone - Outdoor', 'https://www.minoli.co.uk/ranges/bravestone-outdoor/', 'Bravestone - Outdoor', 'https://www.minoli.co.uk/ranges/bravestone-outdoor/', 'Bravestone - Outdoor', 'https://www.minoli.co.uk/ranges/bravestone-outdoor/'];['Outdoor Collection', 'https://www.minoli.co.uk/collections/outdoor-20mm/', 'Outdoor Collection', 'https://www.minoli.co.uk/collections/outdoor-20mm/', 'Outdoor Collection', 'https://www.minoli.co.uk/collections/outdoor-20mm/', 'Outdoor Collection', 'https://www.minoli.co.uk/collections/outdoor-20mm/'];['Outdoor', 'Outdoor', 'Outdoor', 'Outdoor'];['false', 'false', 'false', 'false'];['special-order', 'special-order', 'special-order', 'special-order']
0;['tilereveal-ajax', 'tilereveal-ajax'];['31963', 'false', 'https://www.minoli.co.uk/tiles/norway-outdoor-farge/', '31963', 'false', 'https://www.minoli.co.uk/tiles/norway-outdoor-farge/'];['Norway Farge Textured Outdoor', 'Norway Farge Textured Outdoor'];['60/60 (20 mm)', '80/80 (20 mm)'];['VC03722', 'Please check stock availability at time of ordering', 'NWY1103', 'Non-stock items – Approx. 21-28 days'];['https://www.minoli.co.uk/wp-content/uploads/2020/10/Untitled-1_0000_Norr_20_RR05-710x710.jpg', 'https://www.minoli.co.uk/wp-content/uploads/2020/10/Untitled-1_0000_Norr_20_RR05-710x710.jpg'];['Norway - Outdoor', 'https://www.minoli.co.uk/ranges/norway-outdoor/', 'Norway - Outdoor', 'https://www.minoli.co.uk/ranges/norway-outdoor/'];['Outdoor Collection', 'https://www.minoli.co.uk/collections/outdoor-20mm/', 'Outdoor Collection', 'https://www.minoli.co.uk/collections/outdoor-20mm/'];['Outdoor', 'Outdoor'];['false', 'false'];['in-stock', 'special-order']
